M,N,K,libtype,solidx,soltimems,indtype,outdtype
10240,65519,8192,hipblaslt,77923,9.585726928710937,torch.float8_e4m3fnuz,torch.float16
8192,1186,8192,hipblaslt,77495,0.17844635248184204,torch.float8_e4m3fnuz,torch.float16
10240,7514,8192,hipblaslt,77925,1.1525532722473144,torch.float8_e4m3fnuz,torch.float16
8192,1144,28672,hipblaslt,77396,0.5612058162689209,torch.float8_e4m3fnuz,torch.float16
8192,140,8192,hipblaslt,77585,0.05372909903526306,torch.float8_e4m3fnuz,torch.float16
8192,7139,8192,hipblaslt,77935,0.8579028129577637,torch.float8_e4m3fnuz,torch.float16
57344,1359,8192,hipblaslt,77935,1.295454978942871,torch.float8_e4m3fnuz,torch.float16
8192,6487,28672,hipblaslt,77935,2.988679122924805,torch.float8_e4m3fnuz,torch.float16
8192,5348,28672,hipblaslt,77719,2.282755470275879,torch.float8_e4m3fnuz,torch.float16
8192,3513,28672,hipblaslt,77942,1.5515624046325684,torch.float8_e4m3fnuz,torch.float16
57344,30,8192,hipblaslt,77996,0.13937995433807374,torch.float8_e4m3fnuz,torch.float16
57344,2700,8192,hipblaslt,77950,2.5199647903442384,torch.float8_e4m3fnuz,torch.float16
8192,268,28672,hipblaslt,76889,0.18861739635467528,torch.float8_e4m3fnuz,torch.float16
8192,2575,28672,hipblaslt,77396,1.2116968154907226,torch.float8_e4m3fnuz,torch.float16
8192,560,28672,hipblaslt,76918,0.3414942979812622,torch.float8_e4m3fnuz,torch.float16
8192,2337,8192,hipblaslt,77957,0.3145479440689087,torch.float8_e4m3fnuz,torch.float16
10240,1581,8192,hipblaslt,77828,0.2898653507232666,torch.float8_e4m3fnuz,torch.float16
10240,4568,8192,hipblaslt,77897,0.7162690162658691,torch.float8_e4m3fnuz,torch.float16
8192,1198,28672,hipblaslt,77675,0.6268565654754639,torch.float8_e4m3fnuz,torch.float16
8192,7624,28672,hipblaslt,77917,3.4527847290039064,torch.float8_e4m3fnuz,torch.float16
10240,3057,8192,hipblaslt,77897,0.48021936416625977,torch.float8_e4m3fnuz,torch.float16
10240,1024,8192,hipblaslt,77413,0.18433109521865845,torch.float8_e4m3fnuz,torch.float16
8192,4952,8192,hipblaslt,77888,0.6175528049468995,torch.float8_e4m3fnuz,torch.float16
57344,5715,8192,hipblaslt,77935,5.127263810899523,torch.float8_e4m3fnuz,torch.float16
10240,1150,8192,hipblaslt,77973,0.20417845249176025,torch.float8_e4m3fnuz,torch.float16
57344,1231,8192,hipblaslt,77939,1.1568415641784668,torch.float8_e4m3fnuz,torch.float16
8192,1147,8192,hipblaslt,77836,0.16216870546340942,torch.float8_e4m3fnuz,torch.float16
57344,4628,8192,hipblaslt,77919,4.2525794982910154,torch.float8_e4m3fnuz,torch.float16
10240,1886,28672,hipblaslt,77994,1.1938815116882324,torch.float8_e4m3fnuz,torch.float16
8192,4316,8192,hipblaslt,77960,0.5367731571197509,torch.float8_e4m3fnuz,torch.float16
57344,1864,8192,hipblaslt,77952,1.7623926162719727,torch.float8_e4m3fnuz,torch.float16
10240,1253,8192,hipblaslt,77942,0.21296346187591553,torch.float8_e4m3fnuz,torch.float16
57344,4438,8192,hipblaslt,78017,3.956632614135742,torch.float8_e4m3fnuz,torch.float16
8192,523,28672,hipblaslt,76918,0.3208853483200073,torch.float8_e4m3fnuz,torch.float16
8192,4045,8192,hipblaslt,77924,0.49460663795471194,torch.float8_e4m3fnuz,torch.float16
57344,1493,8192,hipblaslt,77920,1.330430793762207,torch.float8_e4m3fnuz,torch.float16
57344,2989,8192,hipblaslt,77935,2.685652160644531,torch.float8_e4m3fnuz,torch.float16
10240,5052,8192,hipblaslt,78016,0.8038807868957519,torch.float8_e4m3fnuz,torch.float16
8192,3506,8192,hipblaslt,77903,0.43273100852966306,torch.float8_e4m3fnuz,torch.float16
8192,1441,28672,hipblaslt,77917,0.6707089900970459,torch.float8_e4m3fnuz,torch.float16
8192,5597,28672,hipblaslt,77755,2.5809112548828126,torch.float8_e4m3fnuz,torch.float16
57344,3002,8192,hipblaslt,78012,2.6797313690185547,torch.float8_e4m3fnuz,torch.float16
8192,634,8192,hipblaslt,77392,0.10596494674682617,torch.float8_e4m3fnuz,torch.float16
57344,2272,8192,hipblaslt,77952,2.0412618637084963,torch.float8_e4m3fnuz,torch.float16
8192,2540,28672,hipblaslt,77883,1.2265108108520508,torch.float8_e4m3fnuz,torch.float16
57344,133,28672,hipblaslt,77936,0.6804539203643799,torch.float8_e4m3fnuz,torch.float16
10240,1183,8192,hipblaslt,77942,0.2033156394958496,torch.float8_e4m3fnuz,torch.float16
57344,1500,8192,hipblaslt,77920,1.3523551940917968,torch.float8_e4m3fnuz,torch.float16
8192,984,28672,hipblaslt,77388,0.5100756168365479,torch.float8_e4m3fnuz,torch.float16
8192,65156,8192,hipblaslt,77922,7.530999501546224,torch.float8_e4m3fnuz,torch.float16
8192,4010,28672,hipblaslt,77924,1.7828689575195313,torch.float8_e4m3fnuz,torch.float16
8192,959,28672,hipblaslt,77593,0.5195836544036865,torch.float8_e4m3fnuz,torch.float16
10240,464,8192,hipblaslt,77400,0.11082614660263061,torch.float8_e4m3fnuz,torch.float16
57344,59,8192,hipblaslt,77989,0.15874714851379396,torch.float8_e4m3fnuz,torch.float16
10240,1852,8192,hipblaslt,77882,0.3142735481262207,torch.float8_e4m3fnuz,torch.float16
8192,2617,28672,hipblaslt,77937,1.2517142295837402,torch.float8_e4m3fnuz,torch.float16
8192,3803,28672,hipblaslt,77924,1.7620815277099608,torch.float8_e4m3fnuz,torch.float16
8192,643,28672,hipblaslt,76883,0.40203051567077636,torch.float8_e4m3fnuz,torch.float16
10240,2119,8192,hipblaslt,77723,0.35923008918762206,torch.float8_e4m3fnuz,torch.float16
8192,4671,28672,hipblaslt,77895,2.0985286712646483,torch.float8_e4m3fnuz,torch.float16
10240,1681,8192,hipblaslt,77423,0.29907300472259524,torch.float8_e4m3fnuz,torch.float16
57344,5778,8192,hipblaslt,77880,5.2603636847601996,torch.float8_e4m3fnuz,torch.float16
8192,3598,8192,hipblaslt,77984,0.4360198974609375,torch.float8_e4m3fnuz,torch.float16
10240,7117,8192,hipblaslt,77877,1.0654241561889648,torch.float8_e4m3fnuz,torch.float16
8192,5216,8192,hipblaslt,77942,0.6360321521759034,torch.float8_e4m3fnuz,torch.float16
57344,4215,8192,hipblaslt,77880,3.767312240600586,torch.float8_e4m3fnuz,torch.float16
10240,4387,8192,hipblaslt,77981,0.7094829559326172,torch.float8_e4m3fnuz,torch.float16
57344,605,8192,hipblaslt,77917,0.6248215675354004,torch.float8_e4m3fnuz,torch.float16
8192,1743,28672,hipblaslt,77939,0.7733930587768555,torch.float8_e4m3fnuz,torch.float16
10240,1774,8192,hipblaslt,77828,0.3036257982254028,torch.float8_e4m3fnuz,torch.float16
8192,3485,28672,hipblaslt,78012,1.5362135887145996,torch.float8_e4m3fnuz,torch.float16
10240,8338,8192,hipblaslt,77921,1.2268113136291503,torch.float8_e4m3fnuz,torch.float16
8192,3734,8192,hipblaslt,77922,0.47284841537475586,torch.float8_e4m3fnuz,torch.float16
57344,3953,8192,hipblaslt,78012,3.4538158416748046,torch.float8_e4m3fnuz,torch.float16
